model_id,entity_id,snapshot_date,feature_group_count,upstream_package_count,synthetic_signal,target_value
nf_late_delivery_risk,nf_late_delivery_risk-sample-001,2026-06-11,4,3,0.3889,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-002,2026-06-12,4,3,0.7778,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-003,2026-06-13,4,3,0.1111,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-004,2026-06-14,4,3,0.5,1
nf_late_delivery_risk,nf_late_delivery_risk-sample-005,2026-06-15,4,3,0.8889,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-006,2026-06-16,4,3,0.2222,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-007,2026-06-17,4,3,0.6111,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-008,2026-06-18,4,3,1.0,1
nf_late_delivery_risk,nf_late_delivery_risk-sample-009,2026-06-19,4,3,0.3333,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-010,2026-06-20,4,3,0.7222,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-011,2026-06-21,4,3,0.0556,0
nf_late_delivery_risk,nf_late_delivery_risk-sample-012,2026-06-22,4,3,0.4444,1
nf_customer_promise_risk,nf_customer_promise_risk-sample-001,2026-06-11,4,2,0.3889,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-002,2026-06-12,4,2,0.7778,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-003,2026-06-13,4,2,0.1111,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-004,2026-06-14,4,2,0.5,1
nf_customer_promise_risk,nf_customer_promise_risk-sample-005,2026-06-15,4,2,0.8889,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-006,2026-06-16,4,2,0.2222,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-007,2026-06-17,4,2,0.6111,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-008,2026-06-18,4,2,1.0,1
nf_customer_promise_risk,nf_customer_promise_risk-sample-009,2026-06-19,4,2,0.3333,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-010,2026-06-20,4,2,0.7222,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-011,2026-06-21,4,2,0.0556,0
nf_customer_promise_risk,nf_customer_promise_risk-sample-012,2026-06-22,4,2,0.4444,1
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-001,2026-06-11,4,2,0.3889,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-002,2026-06-12,4,2,0.7778,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-003,2026-06-13,4,2,0.1111,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-004,2026-06-14,4,2,0.5,1
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-005,2026-06-15,4,2,0.8889,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-006,2026-06-16,4,2,0.2222,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-007,2026-06-17,4,2,0.6111,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-008,2026-06-18,4,2,1.0,1
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-009,2026-06-19,4,2,0.3333,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-010,2026-06-20,4,2,0.7222,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-011,2026-06-21,4,2,0.0556,0
nf_inventory_aging_risk,nf_inventory_aging_risk-sample-012,2026-06-22,4,2,0.4444,1
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-001,2026-06-11,4,1,0.3889,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-002,2026-06-12,4,1,0.7778,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-003,2026-06-13,4,1,0.1111,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-004,2026-06-14,4,1,0.5,1
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-005,2026-06-15,4,1,0.8889,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-006,2026-06-16,4,1,0.2222,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-007,2026-06-17,4,1,0.6111,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-008,2026-06-18,4,1,1.0,1
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-009,2026-06-19,4,1,0.3333,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-010,2026-06-20,4,1,0.7222,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-011,2026-06-21,4,1,0.0556,0
nf_scrap_loss_propensity,nf_scrap_loss_propensity-sample-012,2026-06-22,4,1,0.4444,1
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-001,2026-06-11,4,3,0.3889,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-002,2026-06-12,4,3,0.7778,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-003,2026-06-13,4,3,0.1111,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-004,2026-06-14,4,3,0.5,1
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-005,2026-06-15,4,3,0.8889,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-006,2026-06-16,4,3,0.2222,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-007,2026-06-17,4,3,0.6111,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-008,2026-06-18,4,3,1.0,1
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-009,2026-06-19,4,3,0.3333,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-010,2026-06-20,4,3,0.7222,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-011,2026-06-21,4,3,0.0556,0
nf_demand_forecast_segment,nf_demand_forecast_segment-sample-012,2026-06-22,4,3,0.4444,1
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-001,2026-06-11,5,2,0.3889,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-002,2026-06-12,5,2,0.7778,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-003,2026-06-13,5,2,0.1111,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-004,2026-06-14,5,2,0.5,1
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-005,2026-06-15,5,2,0.8889,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-006,2026-06-16,5,2,0.2222,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-007,2026-06-17,5,2,0.6111,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-008,2026-06-18,5,2,1.0,1
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-009,2026-06-19,5,2,0.3333,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-010,2026-06-20,5,2,0.7222,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-011,2026-06-21,5,2,0.0556,0
nf_freight_cost_variance_detector,nf_freight_cost_variance_detector-sample-012,2026-06-22,5,2,0.4444,1
